Country,"Aquatic Products, Other + Offals + Fish, Seafood",Cereals - Excluding Beer,Eggs + Milk - Excluding Butter,Fruits - Excluding Wine,Pulses,Starchy Roots,Treenuts,Vegetables + Vegetal Products,Animal fats + Animal Products + Meat,Oilcrops + Vegetable Oils,Sugar & Sweeteners + Sugar Crops,Obesity,Undernourished,Confirmed,Deaths,Confirmed (%),Deaths (%),Population
Afghanistan,0.2407,24.8097,7.7927,5.3495,0.2953,0.8802,0.077,47.3287,10.8334,0.6045,1.3489,4.5,29.8,156210,7272,0.004,0,38928000
Albania,0.445,5.7817,16.3028,6.7861,0.238,1.8096,0.1515,43.0057,20.7886,1.2638,1.5367,22.3,6.2,184887,2916,0.065,0.001,2838000
Algeria,0.3286,13.6816,8.1466,6.3801,0.4783,4.134,0.1152,52.0135,10.7921,1.3803,1.8342,26.6,3.9,206358,5918,0.005,0,44357000
Angola,1.9257,9.1085,0.8898,6.0005,0.6507,18.1102,0.0061,47.3763,7.0409,1.0649,1.8495,6.8,25,64374,1708,0.002,0,32522000
Argentina,0.8472,8.4102,11.2307,6.0435,0.0528,3.042,0.02,35.0062,26.6109,0.9657,3.0536,28.5,4.6,5288259,115942,0.117,0.003,45377000
Armenia,0.5936,7.2982,10.519,6.0989,0.1441,2.0359,0.1108,53.1377,16.0148,0.5604,2.6579,20.9,4.3,306739,6284,0.104,0.002,2956000
Australia,1.8537,5.4979,12.5446,4.1883,0.0546,2.7884,0.3176,33.7212,28.4367,1.6492,2.5364,30.4,2,170564,1735,0.007,0,25754000
Austria,0.8625,6.2116,13.166,4.6069,0.0456,3.0548,0.2367,35.5436,25.1019,1.0792,2.6094,21.9,2,825297,11345,0.093,0.001,8914000
Azerbaijan,0.3554,13.0898,8.8805,4.7988,0.0347,4.7041,0.1906,48.4339,14.0473,0.238,1.5523,19.9,2,529109,7049,0.052,0.001,10108000
Bangladesh,2.5854,29.8045,2.1735,2.8655,0.7065,5.3378,0.0934,48.4438,5.6273,0.8435,1.1235,3.4,14.7,1569328,27862,0.009,0,169809000
Barbados,3.4454,8.0666,2.9833,5.8723,0.6391,4.0812,0.0852,42.9892,18.5665,1.7411,4.3344,24.8,3.9,17465,152,0.061,0.001,287000
Belarus,1.2167,6.2814,6.9669,3.5665,0.001,9.1691,0.1399,46.0763,17.2335,0.9524,4.0155,26.6,2,598183,4614,0.064,0,9375000
Belgium,1.352,6.6704,12.2831,4.1623,0.1132,4.4157,0.1309,39.0798,21.8208,0.6605,3.6514,24.5,2,1360650,25994,0.118,0.002,11515000
Belize,1.0894,11.07,4.024,12.6094,1.1259,1.0614,0.034,46.0843,12.2578,1.4138,3.9798,22.4,7.5,26798,491,0.064,0.001,419000
Benin,1.3096,9.623,1.0169,2.9523,0.7367,19.7771,0.4028,50.4457,5.1743,1.4009,0.6635,8.2,10.1,24749,161,0.002,0,12209000
Bolivia,0.3313,12.3079,4.9499,7.5088,0.3654,7.7315,0.7084,41.4389,18.2786,0.4947,2.5724,18.7,17.1,513584,18925,0.044,0.002,11633000
Bosnia and Herzegovina,0.3554,8.7152,10.2019,4.6409,0.2718,4.0495,0.0822,49.2039,14.3069,0.5168,1.6391,19.4,2,252758,11495,0.077,0.004,3281000
Botswana,0.6607,11.432,11.1619,2.8465,0.2729,4.7614,0.015,39.6049,17.0728,1.2084,4.7866,16.1,26.4,186594,2406,0.081,0.001,2317000
Brazil,0.7411,8.4292,9.8458,6.0936,0.9254,3.3959,0.0513,35.9607,24.1057,1.9916,3.7866,22.3,2,21804094,607694,0.103,0.003,211812000
Bulgaria,0.8006,8.875,12.1916,3.9812,0.1512,1.8576,0.0797,38.9472,21.5044,1.0535,2.3627,27.4,3.6,601035,23918,0.087,0.003,6927000
