Country,"Aquatic Products, Other + Offals + Fish, Seafood",Cereals - Excluding Beer,Eggs + Milk - Excluding Butter,Fruits - Excluding Wine,Pulses,Starchy Roots,Treenuts,Vegetables + Vegetal Products,Animal fats + Animal Products + Meat,Oilcrops + Vegetable Oils,Sugar & Sweeteners + Sugar Crops,Obesity,Undernourished,Confirmed,Deaths,Confirmed (%),Deaths (%),Population
Afghanistan,0.1251,37.1186,2.6013,1.4757,0.5003,0.3252,0.1251,45.998,6.8284,2.4763,2.2261,4.5,29.8,156210,7272,0.004,0,38928000
Albania,0.4119,16.2107,10.7532,3.8982,0.8091,1.2651,0.3972,36.6578,21.0209,3.913,3.4422,22.3,6.2,184887,2916,0.065,0.001,2838000
Algeria,0.1792,25.0112,4.405,3.1805,1.09,1.9262,0.224,46.0206,7.481,6.0326,3.9869,26.6,3.9,206358,5918,0.005,0,44357000
Angola,0.9474,18.3521,0.5508,2.3133,1.4981,12.6239,0,45.6709,7.8873,5.3536,2.7539,6.8,25,64374,1708,0.002,0,32522000
Argentina,0.463,16.7927,4.0284,1.4663,0.1235,1.4045,0.0463,35.8543,25.4978,5.5719,7.0536,28.5,4.6,5288259,115942,0.117,0.003,45377000
Armenia,0.4711,19.2658,6.3678,2.5341,0.4386,1.2508,0.3086,40.3834,18.8271,3.8011,5.2956,20.9,4.3,306739,6284,0.104,0.002,2956000
Australia,0.9513,11.643,5.2703,1.6611,0.1359,1.3138,0.8457,35.518,25.0075,9.0457,5.7989,30.4,2,170564,1735,0.007,0,25754000
Austria,0.5145,12.3748,4.8335,1.5976,0.1083,1.4622,0.4197,35.4184,25.8733,7.8527,6.2551,21.9,2,825297,11345,0.093,0.001,8914000
Azerbaijan,0.2095,28.7417,3.7216,1.6111,0.0806,2.2072,0.4511,43.2898,12.4054,1.2566,3.4155,19.9,2,529109,7049,0.052,0.001,10108000
Bangladesh,0.8669,37.5265,1.0018,0.655,1.2329,1.9264,0.1156,48.2566,2.8704,3.5638,1.4448,3.4,14.7,1569328,27862,0.009,0,169809000
Barbados,1.5196,15.3514,3.7299,1.934,1.2606,1.7095,0.2763,38.9743,18.9087,5.6467,8.0815,24.8,3.9,17465,152,0.061,0.001,287000
Belarus,0.8358,14.2705,3.0395,1.3982,0,4.9848,0.4255,39.5593,20.6535,6.3526,4.6049,26.6,2,598183,4614,0.064,0,9375000
Belgium,0.7829,13.0441,5.3211,1.38,0.2919,2.1895,0.5573,37.5796,22.2134,7.3116,6.8073,24.5,2,1360650,25994,0.118,0.002,11515000
Belize,0.4078,18.9064,2.1872,2.5209,2.2799,0.5005,0.1297,41.594,15.7368,5.7275,7.6367,22.4,7.5,26798,491,0.064,0.001,419000
Benin,0.5989,18.4755,0.5807,0.7623,1.6515,14.4646,0.5082,48.3848,3.7749,6.5154,1.4338,8.2,10.1,24749,161,0.002,0,12209000
Bolivia,0.1912,21.644,2.1878,2.4214,0.9133,3.5472,0.7859,40.5905,17.6933,3.0587,5.6924,18.7,17.1,513584,18925,0.044,0.002,11633000
Bosnia and Herzegovina,0.2907,21.233,5.1706,1.8969,0.7802,2.264,0.2601,43.2155,12.6357,3.2584,3.0289,19.4,2,252758,11495,0.077,0.004,3281000
Botswana,0.406,22.3932,4.7863,1.0256,0.5769,2.6709,0.0427,42.5213,11.047,5.983,5.9402,16.1,26.4,186594,2406,0.081,0.001,2317000
Brazil,0.3386,14.5913,4.1866,1.7239,2.0317,1.7854,0.077,37.3557,21.887,7.9267,6.5107,22.3,2,21804094,607694,0.103,0.003,211812000
Bulgaria,0.5482,17.931,4.9691,1.7683,0.3537,0.9019,0.1415,38.5853,19.0628,5.8886,4.6508,27.4,3.6,601035,23918,0.087,0.003,6927000
Burkina Faso,0.3493,31.6051,1.1583,0.1471,2.4269,0.478,0.0735,47.3984,4.0816,7.8874,1.765,4.5,20,14793,214,0.001,0,20903000
Cabo Verde,0.4771,23.8171,3.5587,1.4513,2.2068,1.8887,0.0596,42.6044,13.0219,4.9304,3.6183,10.6,12.6,38207,349,0.069,0.001,556000
Cambodia,1.8601,33.0166,0.3033,0.647,0.93,1.6983,0.0404,46.3,5.924,3.1743,4.3267,3.5,16.4,118427,2781,0.008,0,15497000
Cameroon,0.6029,20.5201,0.4333,3.5048,3.5613,8.1213,0.3203,49.1991,3.3163,6.5386,1.6017,9.5,9.9,102499,1686,0.004,0,26598000
Canada,0.544,13.0279,3.393,1.8182,1.5748,1.5175,0.587,38.3822,21.4602,9.277,6.199,31.3,2,1721419,29016,0.045,0.001,38190000
Central African Republic,0.7677,8.9565,0.9383,1.905,2.2747,19.6759,0,42.9059,13.1078,7.1083,1.706,6.3,59.6,11518,100,0.002,0,4830000
Chad,1.0771,27.8124,2.0584,0.3112,2.0345,3.1833,0,43.1785,10.7228,7.372,2.0823,4.8,37.5,5069,174,0,0,16877000
Chile,0.4317,19.5782,3.1219,1.2786,0.5812,2.1421,0.2325,38.7413,21.1558,3.2049,7.6387,28.8,2.7,1692877,37743,0.087,0.002,19470000
China,1.9779,17.3827,3.1239,1.2924,0.1727,1.4023,0.7797,36.288,27.2513,4.6309,3.3488,6.6,8.5,109574,4849,0,0,1402385000
Colombia,0.3717,15.3337,3.991,4.6857,0.824,2.7953,0.1777,41.7515,13.3624,5.9299,9.5654,22.1,4.8,5000677,127258,0.101,0.003,49444000
Congo,1.4075,12.6462,0.3248,1.8839,0.6063,17.7783,0,45.7774,8.2287,5.9333,3.5513,8.4,40.3,17323,258,0.003,0,5518000
Costa Rica,0.8128,14.499,5.5242,2.223,1.775,0.8129,0.1327,39.3828,16.3569,8.4606,8.4107,25.7,4.8,559698,7029,0.11,0.001,5111000
Cote d'Ivoire,0.8242,18.8278,0.4029,2.5458,0.3846,15.5495,0.8425,48.4798,3.0952,6.1539,1.63,9,19,61292,695,0.002,0,26175000
Croatia,0.8594,14.2695,5.9024,1.508,0.1135,1.1351,0.2757,37.2466,22.6204,4.5727,7.4753,27.1,2,467029,9198,0.116,0.002,4020000
Cuba,0.2493,19.607,2.4344,3.2116,2.5957,3.4609,0,43.672,12.5238,3.5636,7.5964,26.7,2,951325,8230,0.084,0.001,11281000
Cyprus,0.9942,15.392,5.1625,1.9312,0.5354,0.9943,0.4015,38.6616,19.5603,8.4513,4.4933,22.6,5.6,124017,575,0.103,0,1207000
Czechia,0.3968,11.4011,4.7772,1.2821,0.29,1.7705,0.1984,36.8742,22.8937,8.3639,6.1661,28.5,2,1757821,30736,0.164,0.003,10716000
Denmark,1.2711,13.3757,6.3997,1.5814,0.1035,1.6553,0.5025,33.4319,27.8155,3.222,7.1386,21.3,2,389132,2715,0.067,0,5829000
Djibouti,0.2799,27.8918,1.6604,0.7836,2.3881,0.5597,0.0933,47.5,5.4851,6.3619,6.1754,12.2,18.9,13478,181,0.014,0,988000
Dominica,1.1719,11.3791,4.0591,5.8254,0.7133,5.9783,0.017,40.0985,16.644,4.3987,6.9633,28.2,6.2,4783,32,0.066,0,72000
Dominican Republic,0.5413,13.3054,3.6145,7.421,1.5017,1.3794,0.0349,41.9067,13.2006,9.6734,5.413,26.9,9.5,57470,1091,0.005,0,10500000
Ecuador,0.3865,23.4396,3.9614,2.5894,0.3285,1.0242,0.0386,40.6957,15.1497,7.5555,3.6908,19.3,7.9,515859,32958,0.029,0.002,17511000
Egypt,0.8429,32.2144,1.1892,2.5591,0.6624,1.2645,0.0602,47.3732,6.3676,2.8451,4.4106,31.1,4.5,330084,18592,0.003,0,100803000
El Salvador,0.3382,22.6043,4.0023,1.9917,2.95,1.2026,0.0376,43.0853,11.6498,3.6076,7.1965,22.7,9,113422,3622,0.018,0.001,6481000
Estonia,0.4777,16.2121,8.5529,1.5411,0.4315,2.25,0.4469,35.907,21.652,2.589,3.7756,23.8,2.9,192092,1516,0.144,0.001,1331000
Eswatini,0.3326,27.5468,1.9542,1.4969,0.7277,2.8274,0.1247,44.8233,8.8774,2.4741,6.7152,13.5,20.6,46413,1242,0.042,0.001,1104000
Ethiopia,0.0868,31.5321,1.1502,0.2821,4.4705,6.1198,0.0868,48.2422,2.8211,2.2135,1.8663,3.6,20.6,364960,6451,0.003,0,114916000
Fiji,1.243,18.1338,1.4473,0.63,1.8219,4.3419,0.0511,42.3463,14.2858,8.6157,5.9254,30,3.7,52141,674,0.058,0.001,896000
Finland,1.0639,14.504,7.7764,1.6032,0.1648,1.6931,0.2397,31.6601,29.6074,3.5811,4.525,24.9,2,157531,1158,0.028,0,5529000
France,1.1383,13.8983,6.0146,1.6582,0.2389,1.321,0.4216,33.9938,26.8268,6.4081,5.5509,23.2,2,7262178,118612,0.112,0.002,64940000
Gabon,1.532,18.0064,1.0402,5.2771,0.0378,8.398,0.0189,43.3516,11.8025,5.2393,2.7426,13.4,10.5,35525,239,0.016,0,2231000
Gambia,1.1415,26.8845,1.8894,0.1771,0.1574,0.3543,0.0787,46.5656,4.4479,12.1039,5.5895,8.7,10.2,9965,340,0.004,0,2417000
Georgia,0.3484,25.6053,4.4765,0.8361,0,1.4806,0.2961,41.7697,12.7852,3.3966,6.6539,23.3,7.9,715865,10003,0.193,0.003,3715000
Germany,0.6046,12.4016,5.5259,1.5607,0.0984,1.7717,0.7593,35.7143,24.6063,6.6648,6.482,25.7,2,4608512,95734,0.055,0.001,83300000
Ghana,1.0054,13.8784,0.2967,5.6865,1.0219,19.6143,0.0989,48.2776,2.9669,4.0877,2.0438,9.7,5.5,130077,1175,0.004,0,31073000
Greece,0.7006,14.4731,5.9174,2.2954,0.6707,1.5203,1.0434,39.991,16.3363,11.0448,4.2629,27.4,2,739448,15894,0.069,0.001,10700000
Guatemala,0.1766,23.8619,2.4333,1.3736,2.7473,0.3532,0.2159,45.2315,8.4969,4.8273,9.3995,18.8,15.2,601402,15050,0.033,0.001,18066000
Guinea,0.4472,24.8479,0.7692,2.5939,0.7335,6.7979,0,49.195,3.6136,8.5331,2.2182,6.6,16.5,30653,385,0.002,0,12560000
Guinea-Bissau,0.1554,28.6127,0.9323,1.9534,0.3996,4.1065,1.1543,46.4151,6.6149,8.0799,0.6881,8.2,28,6133,141,0.003,0,1927000
Guyana,0.9013,21.2998,4.2288,2.253,1.1612,1.3345,0.2253,44.1768,12.9116,4.3674,5.5459,19.2,8.1,35548,913,0.045,0.001,787000
Haiti,0.3003,21.5754,1.1088,2.9568,3.8346,5.7057,0,46.5696,6.1908,5.3592,4.0425,20.5,49.3,23960,671,0.002,0,11403000
Honduras,0.1763,23.3301,2.997,1.5475,2.3898,0.2938,0.0392,43.6239,10.284,5.6611,8.5406,19.4,12.9,375381,10239,0.038,0.001,9864000
Hungary,0.1978,13.4206,4.6714,1.0347,0.4108,1.339,0.0304,34.9817,27.252,7.6841,5.3408,28.6,2,863419,30729,0.088,0.003,9767000
Iceland,2.5365,10.7803,9.1674,2.2195,0.0965,1.0753,0.2481,28.5636,32.8784,3.5015,5.3212,23.1,2,13492,33,0.037,0,368000
India,0.2781,27.652,3.4962,1.4303,3.1387,1.1124,0.1986,45.5701,7.3501,5.3238,3.5757,3.8,14.5,34273300,458186,0.024,0,1400100000
Indonesia,1.5736,31.9557,0.7608,1.4179,0.1729,2.4728,0.0865,47.3457,4.4095,5.9139,3.4584,6.9,8.3,4243835,143388,0.016,0.001,271739000
Iran (Islamic Republic of),0.4648,26.2179,1.6826,2.8526,1.0897,1.6346,1.2821,45.9294,9.5353,4.5834,4.5513,25.5,4.9,5916211,126126,0.07,0.001,84150000
Iraq,0.1395,29.7308,1.6152,1.5753,0.6979,0.339,0.1994,46.3808,6.5604,7.5374,4.7059,27.4,29,2054202,23138,0.052,0.001,39725000
Ireland,0.8609,14.4471,5.0578,1.8832,0.3228,1.7487,0.3497,37.2209,22.1146,5.838,6.0533,26.9,2,443631,5436,0.089,0.001,5003000
Israel,0.7833,15.297,4.5578,2.6919,0.8688,1.0255,0.6552,39.9373,17.8037,11.4656,3.6177,26.7,2,1327126,8085,0.144,0.001,9216000
Italy,0.8945,16.2999,4.5577,1.9878,0.6957,0.9655,0.7099,38.6483,19.6792,9.3852,4.4299,22.9,2,4767440,132074,0.079,0.002,60296000
Jamaica,1.0158,16.1255,2.9567,2.5757,0.5079,2.739,0.0363,41.5744,14.9465,5.6413,9.269,24.4,8,88907,2229,0.032,0.001,2809000
Japan,2.4657,19.6329,3.4854,0.8713,0.2595,1.1123,0.241,41.1198,14.3678,8.7504,4.5606,4.4,2,1723327,18268,0.014,0,125967000
Jordan,0.2948,22.0892,2.3397,1.308,1.1238,0.8106,0.35,45.0626,9.5247,9.5246,6.9823,33.4,12.2,860818,11028,0.081,0.001,10679000
Kazakhstan,0.3911,14.6746,7.4938,1.627,0.0782,2.9568,0.3442,37.7503,20.3379,8.0413,4.1302,21.3,2,1018841,17078,0.054,0.001,18732000
Kenya,0.3061,26.3951,3.3436,1.3892,3.5555,3.8615,0.1413,44.7139,8.147,3.6967,3.6732,6,29.4,253293,5276,0.005,0,53528000
"Korea, South",2.1965,20.5847,1.2615,1.1279,0.1633,0.564,0.4749,43.1137,15.2122,7.7768,5.2983,4.9,2,364700,2849,0.007,0,51781000
Kuwait,0.4354,20.4209,3.9913,2.5109,0.8273,1.2337,0.4209,42.5689,13.9188,6.2264,6.1393,37,2.8,412653,2461,0.088,0.001,4691000
Kyrgyzstan,0.286,22.8776,6.8633,0.8937,0.9294,3.092,0.3932,41.5193,14.8169,2.4486,4.3968,15.4,7.1,181186,2668,0.027,0,6594000
Lao People's Democratic Republic,0.919,29.488,0.2626,4.1516,0.4102,2.4614,0.0164,47.2596,8.3853,2.642,1.9856,4.5,16.5,39586,62,0.005,0,7242000
Latvia,0.9942,14.7546,5.6652,1.1835,0.0158,3.5821,0.3787,35.9318,24.1597,5.0812,4.0713,25.7,2,217339,3237,0.114,0.002,1902000
