,healthy,,,,,,,,,,,,,,,unhealthy,,,,,,,,,,,,,,,,,,
Country,"Aquatic Products, Other",Offals,"Fish, Seafood","[Aquatic Products, Other] + [Offals] + [Fish, Seafood]",Cereals - Excluding Beer,Eggs,Milk - Excluding Butter,[Eggs] + [Milk - Excluding Butter],Fruits - Excluding Wine,Pulses,Starchy Roots,Treenuts,Vegetables,Vegetal Products,[Vegetables] + [Vegetal Products],Animal fats,Animal Products,Meat,[Animal fats] + [Animal Products] + [Meat],Oilcrops,Vegetable Oils,[Oilcrops] + [Vegetable Oils],Sugar & Sweeteners,Sugar Crops,[Sugar & Sweeteners] + [Sugar Crops],Obesity,Undernourished,*Undernourished,Confirmed,Deaths,Confirmed (%),Deaths (%),Population,Unit (all except Population)
Afghanistan,0,0.2057,0.035,0.2407,24.8097,0.2099,7.5828,7.7927,5.3495,0.2953,0.8802,0.077,6.7642,40.5645,47.3287,0.1973,9.4341,1.202,10.8334,0.07,0.5345,0.6045,1.3489,0,1.3489,4.5,29.8,29.8,"156,210","7,272",0.004,0,38928000,%
Albania,0,0.2324,0.2126,0.445,5.7817,0.5815,15.7213,16.3028,6.7861,0.238,1.8096,0.1515,11.7753,31.2304,43.0057,0.1357,18.7684,1.8845,20.7886,0.9377,0.3261,1.2638,1.5367,0,1.5367,22.3,6.2,6.2,"184,887",2916,0.065,0.001,2838000,%
Algeria,0,0.087,0.2416,0.3286,13.6816,0.5277,7.6189,8.1466,6.3801,0.4783,4.134,0.1152,11.6484,40.3651,52.0135,0.0282,9.6334,1.1305,10.7921,0.3493,1.031,1.3803,1.8342,0,1.8342,26.6,3.9,3.9,"206,358",5918,0.005,0,44357000,%
Angola,0,0.155,1.7707,1.9257,9.1085,0.0587,0.8311,0.8898,6.0005,0.6507,18.1102,0.0061,2.3041,45.0722,47.3763,0.056,4.9278,2.0571,7.0409,0.4186,0.6463,1.0649,1.8495,0,1.8495,6.8,25,25,"64,374",1708,0.002,0,32522000,%
Antigua and Barbuda,0,0.2219,4.1489,4.3708,5.996,0.2274,6.3663,6.5937,10.7451,0.184,1.4522,0.0253,5.4495,33.3233,38.7728,0.0087,16.6613,5.6888,22.3588,0.2172,0.8102,1.0274,3.8749,0,3.8749,19.1,NA,NA,"4,058",102,0.041,0.001,98000,%
Argentina,0,0.3779,0.4693,0.8472,8.4102,0.9979,10.2328,11.2307,6.0435,0.0528,3.042,0.02,4.3503,30.6559,35.0062,0.2234,19.3454,7.0421,26.6109,0.0116,0.9541,0.9657,3.0536,0,3.0536,28.5,4.6,4.6,"5,288,259","115,942",0.117,0.003,45377000,%
Armenia,0,0.304,0.2896,0.5936,7.2982,0.5783,9.9407,10.519,6.0989,0.1441,2.0359,0.1108,16.7019,36.4358,53.1377,0.1833,13.564,2.2675,16.0148,0.0899,0.4705,0.5604,2.6579,0,2.6579,20.9,4.3,4.3,"306,739","6,284",0.104,0.002,2956000,%
Australia,0.0033,0.424,1.4264,1.8537,5.4979,0.4428,12.1018,12.5446,4.1883,0.0546,2.7884,0.3176,5.1406,28.5806,33.7212,0.3143,21.4175,6.7049,28.4367,0.3694,1.2798,1.6492,2.5364,0,2.5364,30.4,<2.5,2,"170,564","1,735",0.007,0,25754000,%
Austria,0.0011,0.1052,0.7562,0.8625,6.2116,0.7884,12.3776,13.166,4.6069,0.0456,3.0548,0.2367,5.1098,30.4338,35.5436,0.8555,19.5654,4.681,25.1019,0.2683,0.8109,1.0792,2.6094,0,2.6094,21.9,<2.5,2,"825,297","11,345",0.093,0.001,8914000,%
