,healthy,,,,,,,,,,,,,,,unhealthy,,,,,,,,,,,,,,,,,,
Country,"Aquatic Products, Other",Offals,"Fish, Seafood","[Aquatic Products, Other] + [Offals] + [Fish, Seafood]",Cereals - Excluding Beer,Eggs,Milk - Excluding Butter,[Eggs] + [Milk - Excluding Butter],Fruits - Excluding Wine,Pulses,Starchy Roots,Treenuts,Vegetables,Vegetal Products,[Vegetables] + [Vegetal Products],Animal fats,Animal Products,Meat,[Animal fats] + [Animal Products] + [Meat],Oilcrops,Vegetable Oils,[Oilcrops] + [Vegetable Oils],Sugar & Sweeteners,Sugar Crops,[Sugar & Sweeteners] + [Sugar Crops],Obesity,Undernourished,*Undernourished,Confirmed,Deaths,Confirmed (%),Deaths (%),Population,Unit (all except Population)
Afghanistan,0,0.1251,0,0.1251,37.1186,0.1501,2.4512,2.6013,1.4757,0.5003,0.3252,0.1251,0.7504,45.2476,45.998,0.8504,4.7774,1.2006,6.8284,0.1751,2.3012,2.4763,2.2261,0,2.2261,4.5,29.8,29.8,"156,210","7,272",0.004,0,38928000,%
Albania,0,0.2648,0.1471,0.4119,16.2107,0.8091,9.9441,10.7532,3.8982,0.8091,1.2651,0.3972,2.7508,33.907,36.6578,1.0591,16.093,3.8688,21.0209,1.0886,2.8244,3.913,3.4422,0,3.4422,22.3,6.2,6.2,"184,887",2916,0.065,0.001,2838000,%
Algeria,0,0.0597,0.1195,0.1792,25.0112,0.4181,3.9869,4.405,3.1805,1.09,1.9262,0.224,2.0457,43.9749,46.0206,0.1941,6.0326,1.2543,7.481,0.2688,5.7638,6.0326,3.9869,0,3.9869,26.6,3.9,3.9,"206,358",5918,0.005,0,44357000,%
Angola,0,0.1102,0.8372,0.9474,18.3521,0.0441,0.5067,0.5508,2.3133,1.4981,12.6239,0,0.3525,45.3184,45.6709,0.2644,4.6927,2.9302,7.8873,1.0795,4.2741,5.3536,2.7539,0,2.7539,6.8,25,25,"64,374",1708,0.002,0,32522000,%
Antigua and Barbuda,0,0.1646,1.728,1.8926,13.7215,0.2057,4.6904,4.8961,3.6824,0.4526,0.8434,0.0823,1.296,34.6225,35.9185,1.5429,15.3672,7.0356,23.9457,0.5966,4.6904,5.287,5.8218,0,5.8218,19.1,NA,NA,"4,058",102,0.041,0.001,98000,%
Argentina,0,0.2624,0.2006,0.463,16.7927,0.8643,3.1641,4.0284,1.4663,0.1235,1.4045,0.0463,0.8643,34.99,35.8543,1.065,14.9869,9.4459,25.4978,0.0309,5.541,5.5719,7.0536,0,7.0536,28.5,4.6,4.6,"5,288,259","115,942",0.117,0.003,45377000,%
Armenia,0,0.2924,0.1787,0.4711,19.2658,0.731,5.6368,6.3678,2.5341,0.4386,1.2508,0.3086,3.2164,37.167,40.3834,1.7706,12.833,4.2235,18.8271,0.2274,3.5737,3.8011,5.2956,0,5.2956,20.9,4.3,4.3,"306,739","6,284",0.104,0.002,2956000,%
Australia,0,0.3473,0.604,0.9513,11.643,0.4681,4.8022,5.2703,1.6611,0.1359,1.3138,0.8457,1.1326,34.3854,35.518,1.9027,15.6146,7.4902,25.0075,0.6645,8.3812,9.0457,5.7989,0,5.7989,30.4,<2.5,2,"170,564","1,735",0.007,0,25754000,%
Austria,0,0.1083,0.4062,0.5145,12.3748,0.7853,4.0482,4.8335,1.5976,0.1083,1.4622,0.4197,1.029,34.3894,35.4184,5.2532,15.6106,5.0095,25.8733,0.6905,7.1622,7.8527,6.2551,0,6.2551,21.9,<2.5,2,"825,297","11,345",0.093,0.001,8914000,%
